2026-07-10 10:40:32,872 | INFO | MamaAI | Mama AI started successfully.
2026-07-10 10:40:32,872 | WARNING | MamaAI | This is a warning.
2026-07-10 10:40:32,873 | ERROR | MamaAI | This is an error message.
2026-07-10 10:53:44,804 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 10:53:56,619 | INFO | MamaAI | Home endpoint accessed
2026-07-10 10:55:45,002 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 10:55:49,690 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 10:57:52,144 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 10:57:56,275 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 10:57:58,952 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 10:58:16,155 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:01:52,958 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:01:57,286 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:02:17,464 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:02:22,565 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:04:08,282 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:04:12,591 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:04:27,495 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:04:42,933 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:04:52,806 | INFO | MamaAI | [28238979] GET /health/
2026-07-10 11:04:52,813 | INFO | MamaAI | [28238979] 307 (6.4 ms)
2026-07-10 11:04:52,825 | INFO | MamaAI | [2de36dfe] GET /health
2026-07-10 11:04:52,844 | INFO | MamaAI | [2de36dfe] 200 (18.6 ms)
2026-07-10 11:07:19,794 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:16:17,747 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:16:19,944 | INFO | MamaAI | [9f7c3dc7] GET /docs
2026-07-10 11:16:19,946 | INFO | MamaAI | [9f7c3dc7] 200 (2.0 ms)
2026-07-10 11:16:20,309 | INFO | MamaAI | [7ca5d965] GET /openapi.json
2026-07-10 11:16:20,370 | INFO | MamaAI | [7ca5d965] 200 (61.21 ms)
2026-07-10 11:16:55,443 | INFO | MamaAI | [23eb6af3] POST /chat
2026-07-10 11:17:01,760 | INFO | MamaAI | [23eb6af3] 200 (6317.38 ms)
2026-07-10 11:20:21,062 | INFO | MamaAI | [59ef7020] POST /chat
2026-07-10 11:20:21,067 | INFO | MamaAI | [59ef7020] 422 (3.09 ms)
2026-07-10 11:22:27,359 | INFO | MamaAI | [08455a52] GET /docs
2026-07-10 11:22:27,360 | INFO | MamaAI | [08455a52] 200 (1.0 ms)
2026-07-10 11:22:27,749 | INFO | MamaAI | [41be76b7] GET /openapi.json
2026-07-10 11:22:27,750 | INFO | MamaAI | [41be76b7] 200 (1.57 ms)
2026-07-10 11:25:14,237 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:28:46,455 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:28:51,266 | INFO | MamaAI | [403aa8df] GET /docs
2026-07-10 11:28:51,270 | INFO | MamaAI | [403aa8df] 200 (4.64 ms)
2026-07-10 11:28:51,497 | INFO | MamaAI | [16366705] GET /openapi.json
2026-07-10 11:28:51,519 | INFO | MamaAI | [16366705] 200 (21.83 ms)
2026-07-10 11:30:06,654 | INFO | MamaAI | [413e41a8] GET /history
2026-07-10 11:30:06,689 | INFO | MamaAI | [413e41a8] 200 (34.05 ms)
2026-07-10 11:33:21,668 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:33:28,737 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:34:06,852 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:38:35,031 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:39:28,957 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:39:35,573 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:40:45,510 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:40:52,051 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:40:59,853 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:41:10,025 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:41:12,461 | INFO | MamaAI | [166fb3ca] GET /docs
2026-07-10 11:41:12,464 | INFO | MamaAI | [166fb3ca] 200 (2.99 ms)
2026-07-10 11:41:12,694 | INFO | MamaAI | [735de1b7] GET /openapi.json
2026-07-10 11:41:12,775 | INFO | MamaAI | [735de1b7] 200 (81.01 ms)
2026-07-10 11:48:31,230 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:48:36,684 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:50:04,338 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:50:11,297 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:50:21,391 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:50:33,923 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:50:34,171 | INFO | MamaAI | [be3cd40c] GET /docs
2026-07-10 11:50:34,174 | INFO | MamaAI | [be3cd40c] 200 (3.15 ms)
2026-07-10 11:50:34,401 | INFO | MamaAI | [f1b44d35] GET /openapi.json
2026-07-10 11:50:34,428 | INFO | MamaAI | [f1b44d35] 200 (27.56 ms)
2026-07-10 11:51:09,931 | INFO | MamaAI | [4a168580] POST /chat
2026-07-10 11:51:10,037 | INFO | MamaAI | [4a168580] 200 (106.48 ms)
2026-07-10 11:51:28,202 | INFO | MamaAI | [5288d003] POST /chat
2026-07-10 11:51:28,270 | INFO | MamaAI | [5288d003] 200 (68.56 ms)
2026-07-10 11:51:45,457 | INFO | MamaAI | [d6e6e425] POST /chat
2026-07-10 11:51:45,491 | INFO | MamaAI | [d6e6e425] 200 (34.39 ms)
2026-07-10 11:54:57,833 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:55:04,428 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:55:08,946 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:55:15,401 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:55:37,053 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:55:43,588 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 11:55:56,692 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 11:56:03,353 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 12:02:30,625 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 12:02:36,820 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 12:02:58,070 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 12:40:27,287 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 12:40:31,212 | INFO | MamaAI | [2918973e] GET /
2026-07-10 12:40:31,253 | INFO | MamaAI | Home endpoint accessed
2026-07-10 12:40:31,255 | INFO | MamaAI | [2918973e] 200 (43.08 ms)
2026-07-10 12:42:07,719 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-10 12:42:17,520 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-10 12:42:26,418 | INFO | MamaAI | [61c5e6a6] GET /
2026-07-10 12:42:26,456 | INFO | MamaAI | Home endpoint accessed
2026-07-10 12:42:26,458 | INFO | MamaAI | [61c5e6a6] 200 (40.46 ms)
2026-07-10 12:42:37,710 | INFO | MamaAI | [34ecdfe9] GET /
