(app root): total=3, active=2, inactive=1
agent: total=35, active=3, inactive=32
ai: total=4, active=2, inactive=2
analytics: total=5, active=0, inactive=5
api: total=9, active=4, inactive=5
automation: total=4, active=0, inactive=4
browser: total=30, active=0, inactive=30
cache: total=3, active=0, inactive=3
cognition: total=20, active=1, inactive=19
commands: total=3, active=1, inactive=2
config: total=6, active=3, inactive=3
controller: total=7, active=0, inactive=7
core: total=6, active=3, inactive=3
database: total=12, active=7, inactive=5
desktop: total=25, active=0, inactive=25
execution: total=5, active=0, inactive=5
gui: total=5, active=1, inactive=4
integrations: total=7, active=0, inactive=7
learning: total=10, active=0, inactive=10
llm: total=7, active=0, inactive=7
memory: total=23, active=1, inactive=22
middleware: total=2, active=2, inactive=0
monitoring: total=4, active=0, inactive=4
multi_agent: total=20, active=0, inactive=20
orchestration: total=6, active=0, inactive=6
planner: total=7, active=0, inactive=7
plugins: total=4, active=0, inactive=4
reasoning: total=20, active=0, inactive=20
retrieval: total=4, active=0, inactive=4
security: total=5, active=0, inactive=5
services: total=6, active=2, inactive=4
skills: total=4, active=0, inactive=4
testing: total=4, active=0, inactive=4
tools: total=40, active=7, inactive=33
ui: total=11, active=1, inactive=10
utils: total=7, active=0, inactive=7
vector_store: total=4, active=0, inactive=4
verifier: total=8, active=0, inactive=8
vision: total=32, active=2, inactive=30
voice: total=10, active=2, inactive=8
workflows: total=4, active=0, inactive=4
